Workshop,Date,Time,Mode,registration_link,description
"R for Lunch: pivot, join, and iteration","Fri, Sep 22",12:30pm - 1:30pm,In-Person,https://duke.libcal.com/event/11002167,"Part of the Rfun Series. R for Lunch is a one-hour lunch-time series designed to help people learn R for reproducible computational thinking. R is a data science and data visualization tool which, when combined with RStudio, the Tidyverse, and Quarto, provides a powerful and flexible environment for reproducible research. Note: Lunch will NOT be provided but you are welcome to bring your own!

Register in advance. Meet in Person.  Recordings will be shared on a delayed schedule. This event is open to non-Duke participants. 

R for Lunch (1 hour each)
- previous sessions (8/3, 9/1, 9/8, 9/15)- Friday - 9/22/23 ; 12:30 ; Tidy data ; pivot, join, iteration part1;  (builds on previous sessions)
- Friday - 9/29/23 ; 12:30 ; functions & purrr; iteration part2
- Friday - 10/6/23 ; 1:30 ; regression and tidymodels  

The content of the workshop may be recorded. If you are uncomfortable with a recording being published, please contact the instructor at any time prior to the conclusion of the workshop.

Data Science"
Creating Online Maps with ArcGIS,"Tue, Sep 26",10:00am - 12:00pm,In-Person,https://duke.libcal.com/event/11003768,"This introductory workshop will teach you how to build interactive online maps. After reviewing fundamental mapping concepts and technologies, we will walk through hands-on activities in Esri's ArcGIS Online. ArcGIS Online is a cloud-based mapping and analysis platform you can use in your web browser. Topics will include: finding geospatial data, designing effective maps, sharing web applications, and using basic spatial analysis tools. This event is open to non-Duke participants. 

The content of the workshop may be recorded. If you are uncomfortable with a recording being published, please contact the instructor at any time prior to the conclusion of the workshop.

Mapping & GIS"
Intro to QGIS,"Wed, Sep 27",10:00am - 12:00pm,Online,https://duke.libcal.com/event/11003806,"Are you looking for an open source, but still full-featured, option for GIS to make maps or to analyze geospatial data? In this workshop we will demonstrate how to import and analyze data in QGIS and discuss the benefits of using QGIS over other GIS software. It's free and available for many platforms, not just Windows as is ArcGIS. In the process, we'll go over some general GIS concepts such as layers, types of GIS files, and projections, with an emphasis on feature (vector) layers. This is an introductory class, and no prior GIS experience is needed. This event is open to non-Duke participants. 

Attendees should have installed QGIS beforehand.

Go to the QGIS Downloads webpage.
	Download and install the QGIS Installer for either the latest version or the latest long-term (most stable) release.  Versions for several platforms are available.
This event is offered virtually. A zoom link will be sent via email to registered participants to join the workshop.

The content of the workshop may be recorded. If you are uncomfortable with a recording being published, please contact the instructor at anytime prior to the conclusion of the workshop.

Mapping & GIS"
Ethics of Data Management and Sharing,"Wed, Sep 27",1:00pm - 3:00pm,Online,https://duke.libcal.com/event/10998309,"This workshop will explore the many different ethical issues that can arise with data management and sharing and strategies to address those issues. Topics covered will include a framework for analyzing ethical cases, the use of secondary data in research, proper consent procedures, de-identification, and the impact of laws on data sharing. We will also explore the application of diversity and equity principles to open science and data sharing. For instance, how can researchers ethically collect, handle, and share data from certain communities, such as Indigenous People? This workshop will contain both lecture and small group discussion where participants will engage with key ethical concepts and apply those concepts to a case-study. This event is open to non-Duke participants.

This event is offered virtually. A zoom link will be sent via email to registered participants to join the workshop.

The content of the workshop may be recorded. If you are uncomfortable with a recording being published, please contact the instructor at any time prior to the conclusion of the workshop.

Data Management"
R for Lunch: functions and iteration,"Fri, Sep 29",12:30pm - 1:30pm,In-Person,https://duke.libcal.com/event/11002169,"Part of the Rfun Series. R for Lunch is a one-hour lunch-time series designed to help people learn R for reproducible computational thinking. R is a data science and data visualization tool which, when combined with RStudio, the Tidyverse, and Quarto, provides a powerful and flexible environment for reproducible research. Note: Lunch will NOT be provided but you are welcome to bring your own!

Register in advance. Meet in Person.  Recordings will be shared on a delayed schedule. This event is open to non-Duke participants

R for Lunch (1 hour each)
- previous sessions (8/3, 9/1, 9/8, 9/15, 9/22)- Friday - 9/29/23 ; 12:30 ; functions & purrr, iteration (continued);  (builds on previous sessions)
- Friday - 10/6/23 ; 1:30 ; regression and tidymodels  

The content of the workshop may be recorded. If you are uncomfortable with a recording being published, please contact the instructor at any time prior to the conclusion of the workshop.

Data Science"
Paper Maps in Digital Projects,"Tue, Oct 03",11:00am - 12:00pm,In-Person,https://duke.libcal.com/event/11003792,"Do you want to incorporate paper maps into an interactive online map? Overlaying scanned maps can help illustrate change over time, offer additional context, provide a visually appropriate background, and give access to spatial data not available in other formats.

This workshop will teach you how to bring paper maps into web mapping tools. We will cover concepts and techniques related to georeferencing, the process of aligning map images with the correct locations on the earth. Tutorials will present steps with easy web-based tools; no software is needed. In addition to learning the process, we will discuss some challenges of working with historical maps.

Prior experience with GIS is not required. This event is open to non-Duke participants. 

The content of the workshop may be recorded. If you are uncomfortable with a recording being published, please contact the instructor at any time prior to the conclusion of the workshop.

Mapping & GIS"
Intro to Tableau: Easy Charts & Maps,"Thu, Oct 05",2:00pm - 4:00pm,Online,https://duke.libcal.com/event/11004270,"Tableau Public (available for both Windows and Mac) is incredibly useful free software that allows individuals to quickly and easily explore their data with a wide variety of visual representations, as well as create interactive web-based visualization dashboards. This workshop will focus on using Tableau Public to create data visualizations, starting with an overview of how the program thinks about data, common data manipulation and loading, and the terminology used. Activities will include a sample data visualization and mapping project, which will give people hands-on experience using Tableau’s basic chart types and dashboard creation tools. We will also discuss publishing to the Tableau Public web server and related services and tools, like the full Tableau Desktop application (free for full-time students).

This workshop is designed for beginners who might be comfortable with data and spreadsheets, but have no experience with Tableau, are curious about what it can do, and want to get a quick introduction so they can start playing on their own. This event is open to non-Duke participants.

Expectations: 

If you need help with something during the session, you'll be expected to share your screen.
	You will be expected to arrive with Tableau Public or Desktop already installed on the machine you're Zooming from if you want to work along with me or do the exercises during the workshop!
	Tableau is available through the company itself, not OIT
		Tableau Public is free and available for Mac and Windows. Download at: https://www.tableau.com/products/public/download 
		Tableau Desktop licenses are free for students (Google ""Tableau for Students"") or those doing non-profit research (as defined by Tableau – Google ""Tableau for Teaching"")
		Please don't use the online Web Authoring version that just runs in your browser if you're planning to play along with the exercises – there are some differences that cause problems.
	
This event is offered virtually. A zoom link will be sent via email to registered participants to join the workshop.

The content of the workshop may be recorded. If you are uncomfortable with a recording being published, please contact the instructor at anytime prior to the conclusion of the workshop.

Data Visualization"
R for Lunch: regression and tidymodels,"Fri, Oct 06",1:30pm - 2:30pm,In-Person,https://duke.libcal.com/event/11002170,"Part of the Rfun Series. R for Lunch is a one-hour lunch-time series designed to help people learn R for reproducible computational thinking. R is a data science and data visualization tool which, when combined with RStudio, the Tidyverse, and Quarto, provides a powerful and flexible environment for reproducible research. Note: Lunch will NOT be provided but you are welcome to bring your own!

Register in advance. Meet in Person.  Recordings will be shared on a delayed schedule. This event is open to non-Duke participants. 

R for Lunch (1 hour each)
- previous sessions (8/3, 9/1, 9/8, 9/15, 9/22, 9/29)
- Friday - 10/6/23 ; New time 1:30 ; regression and tidymodels;  (builds on previous sessions). This session will focus on how to maniuplate models compuatationally.  This is not a workshop on interpretting or choosing statistical models.

The content of the workshop may be recorded. If you are uncomfortable with a recording being published, please contact the instructor at any time prior to the conclusion of the workshop.

Data Science"
Mapping with R,"Tue, Oct 10",10:00am - 12:00pm,In-Person,https://duke.libcal.com/event/11003775,"This workshop introduces the use of the R language for producing maps. We will demonstrate the advantages of a code-drive approach such as R for visualizing geospatial data. Participants will gain the skills to quickly and efficiently create a variety of map types for a website, presentation, or publication. In addition to working on hands-on coding exercises, we will also review practical guidance on designing effective maps.

Attendees will need basic familiarity with R and RStudio to follow along with the exercises. Knowledge of tidyverse packages such as ggplot2 and dplyr is also helpful. This event is open to non-Duke participants. 

The content of the workshop may be recorded. If you are uncomfortable with a recording being published, please contact the instructor at any time prior to the conclusion of the workshop.

Mapping & GIS, Data Science"
An Introduction to Reproducible Research Practices,"Wed, Oct 11",10:00am - 12:00pm,Online,https://duke.libcal.com/event/10998311,"The importance of reproducibility, replication, and transparency in the research endeavor is increasingly discussed in academia. This workshop will introduce the concept of “reproducibility” and foundational strategies that can increase the reproducibility of your work particularly related to organization, documentation, literate coding techniques, version control, and archiving data and code for future access and use. We will also present a protocol, the TIER protocol, as a tool that graduate students or others can use that are first approaching reproducibility. In the second half of the workshop we will present a potential end-to-end reproducible workflow using git, RStudio, Binder, and Zenodo to demonstrate some of the concepts in practice. This event is open to non-Duke participants. 

This event is offered virtually. A zoom link will be sent via email to registered participants to join the workshop.

The content of the workshop may be recorded. If you are uncomfortable with a recording being published, please contact the instructor at any time prior to the conclusion of the workshop.

Data Science, Data Management"
PowerPoint Skills for Diagrams,"Wed, Nov 01",10:00am - 12:00pm,Online,https://duke.libcal.com/event/11004281,"While Adobe Illustrator is my preferred software for producing diagrams, PowerPoint is quite full-featured and a great option for those who don't have access to Illustrator. Plus, any skills you gain drawing diagrams will help you create better presentation slides! In this workshop I'll cover basic shape creation and manipulation in Microsoft PowerPoint, including ways to make your own icons with shape combinations. This event is open to non-Duke participants. 

Expectations: 

If you need help with something during the session, you'll be expected to share your screen.
	You will be expected to arrive with Microsoft PowerPoint already installed on your computer if you want to work along with me or do the exercises during the workshop!
This event is offered virtually. A zoom link will be sent via email to registered participants to join the workshop.

The content of the workshop may be recorded. If you are uncomfortable with a recording being published, please contact the instructor at anytime prior to the conclusion of the workshop.

Data Visualization"
Preparing for Data Publishing: Standards and Disciplinary Repositories,"Thu, Nov 02",10:00am - 12:00pm,Online,https://duke.libcal.com/event/10998422,"Research data have value beyond their original purpose and by sharing or ""publishing"" your data you can support open science, reproducibility, and future innovation. This workshop will explore strategies and best practices for formally publishing your data in a data repository. Topics covered will include new modes of publishing in academia, the use of data and metadata standards to support interoperability and harmonization, an overview of repository options and key features, examples of disciplinary repositories, and data publishing methods to increase the impact of research projects and support the FAIR Guiding Principles (i.e., Findable, Accessible, Interoperable, and Reusable). Participants will also practice finding and assessing data repositories via a hands-on exercise. This event is open to non-Duke participants.

This event is offered virtually. A zoom link will be sent via email to registered participants to join the workshop.

The content of the workshop may be recorded. If you are uncomfortable with a recording being published, please contact the instructor at any time prior to the conclusion of the workshop.

Data Management"
Open Scholarship: Practices and Principles,"Thu, Nov 09",1:00pm - 3:00pm,Online,https://duke.libcal.com/event/10998425,"With the recent trends towards openness as expressed in funder and journal policies (such as the new OSTP memo focusing on Immediate and Equitable Access to  Federally Funded Research), many scholars are looking to build new practices into their workflows and enhance their impact. This workshop will present an overview of how and why you might incorporate open scholarship practices into your research and publishing, including the benefits to you, your discipline, and the broader public. It will also prepare you to meet new requirements being put in place by many funding agencies, and give you tools to make sure you can protect your rights and get credit for your work while sharing it broadly. This event is open to non-Duke participants.

This event is offered virtually. A zoom link will be sent via email to registered participants to join the workshop.

The content of the workshop may be recorded. If you are uncomfortable with a recording being published, please contact the instructor at any time prior to the conclusion of the workshop.

Data Management"
